hospital_id,service_code,service_name,unit,category_name,payer_type,price,currency,effective_from,effective_to,notes,status
1,DO35,"Hội chẩn ngoại viện (Hội chẩn ca bệnh khó, bệnh nặng, bệnh hiếm chuyên ngành Tai mũi họng)",Lần,HỘI CHẨN,TU_CHI_TRA,550000,VND,2024-01-01,,,1
1,DO35,"Hội chẩn ngoại viện (Hội chẩn ca bệnh khó, bệnh nặng, bệnh hiếm chuyên ngành Tai mũi họng)",Lần,HỘI CHẨN,BHYT,200000,VND,2024-01-01,,,1
1,DO37,"Hội chẩn ngoại viện (Hội chẩn ca bệnh khó, bệnh nặng, bệnh hiếm chuyên ngành Phụ sản)",Lần,HỘI CHẨN,TU_CHI_TRA,550000,VND,2024-01-01,,,1
1,DO37,"Hội chẩn ngoại viện (Hội chẩn ca bệnh khó, bệnh nặng, bệnh hiếm chuyên ngành Phụ sản)",Lần,HỘI CHẨN,BHYT,200000,VND,2024-01-01,,,1
1,DO40,"Hội chẩn ngoại viện (Hội chẩn ca bệnh khó, bệnh nặng, bệnh hiếm chuyên ngành Ngoại)",Lần,HỘI CHẨN,TU_CHI_TRA,550000,VND,2024-01-01,,,1
1,DO40,"Hội chẩn ngoại viện (Hội chẩn ca bệnh khó, bệnh nặng, bệnh hiếm chuyên ngành Ngoại)",Lần,HỘI CHẨN,BHYT,200000,VND,2024-01-01,,,1
1,DO42,"Hội chẩn ngoại viện (Hội chẩn ca bệnh khó, bệnh nặng, bệnh hiếm chuyên ngành Nội tiết)",Lần,HỘI CHẨN,TU_CHI_TRA,550000,VND,2024-01-01,,,1
1,DO42,"Hội chẩn ngoại viện (Hội chẩn ca bệnh khó, bệnh nặng, bệnh hiếm chuyên ngành Nội tiết)",Lần,HỘI CHẨN,BHYT,200000,VND,2024-01-01,,,1
1,DN17,Hội chẩn để xác định ca bệnh khó,Lần,HỘI CHẨN,TU_CHI_TRA,500000,VND,2024-01-01,,,1
1,ND91,Chụp CLVT hàm-mặt có tiêm thuốc cản quang (sọ + xoang) (chưa bao gồm thuốc cản quang) [BHYT thanh toán theo đơn giá 1-32 dãy],Lần,CT-SCAN,TU_CHI_TRA,1950000,VND,2024-01-01,,,1
1,ND91,Chụp CLVT hàm-mặt có tiêm thuốc cản quang (sọ + xoang) (chưa bao gồm thuốc cản quang) [BHYT thanh toán theo đơn giá 1-32 dãy],Lần,CT-SCAN,BHYT,663400,VND,2024-01-01,,,1
1,ND92,Chụp CLVT sọ não không tiêm thuốc cản quang [BHYT thanh toán theo đơn giá 1-32 dãy],Lần,CT-SCAN,TU_CHI_TRA,1000000,VND,2024-01-01,,,1
1,ND92,Chụp CLVT sọ não không tiêm thuốc cản quang [BHYT thanh toán theo đơn giá 1-32 dãy],Lần,CT-SCAN,BHYT,550100,VND,2024-01-01,,,1
1,ND93,Chụp CLVT sọ não có tiêm thuốc cản quang (chưa bao gồm thuốc cản quang) [BHYT thanh toán theo đơn giá 1-32 dãy],Lần,CT-SCAN,TU_CHI_TRA,1240000,VND,2024-01-01,,,1
1,ND93,Chụp CLVT sọ não có tiêm thuốc cản quang (chưa bao gồm thuốc cản quang) [BHYT thanh toán theo đơn giá 1-32 dãy],Lần,CT-SCAN,BHYT,663400,VND,2024-01-01,,,1
1,ND94,Chụp CT-Scan vùng cổ [BHYT thanh toán theo đơn giá 1-32 dãy],Lần,CT-SCAN,TU_CHI_TRA,1000000,VND,2024-01-01,,,1
1,ND94,Chụp CT-Scan vùng cổ [BHYT thanh toán theo đơn giá 1-32 dãy],Lần,CT-SCAN,BHYT,550100,VND,2024-01-01,,,1
1,ND95,Chụp CT-Scan vùng cổ có thuốc cản quang (chưa bao gồm thuốc cản quang) [BHYT thanh toán theo đơn giá 1-32 dãy],Lần,CT-SCAN,TU_CHI_TRA,1240000,VND,2024-01-01,,,1
1,ND95,Chụp CT-Scan vùng cổ có thuốc cản quang (chưa bao gồm thuốc cản quang) [BHYT thanh toán theo đơn giá 1-32 dãy],Lần,CT-SCAN,BHYT,663400,VND,2024-01-01,,,1
1,ND96,Chụp CLVT hàm-mặt không tiêm thuốc cản quang (xoang) [BHYT thanh toán theo đơn giá 1-32 dãy],Lần,CT-SCAN,TU_CHI_TRA,1000000,VND,2024-01-01,,,1
1,ND96,Chụp CLVT hàm-mặt không tiêm thuốc cản quang (xoang) [BHYT thanh toán theo đơn giá 1-32 dãy],Lần,CT-SCAN,BHYT,550100,VND,2024-01-01,,,1
1,ND97,Chụp CLVT hàm-mặt có tiêm thuốc cản quang (chưa bao gồm thuốc cản quang) [BHYT thanh toán theo đơn giá 1-32 dãy],Lần,CT-SCAN,TU_CHI_TRA,1240000,VND,2024-01-01,,,1
1,ND97,Chụp CLVT hàm-mặt có tiêm thuốc cản quang (chưa bao gồm thuốc cản quang) [BHYT thanh toán theo đơn giá 1-32 dãy],Lần,CT-SCAN,BHYT,663400,VND,2024-01-01,,,1
1,ND98,Chụp CLVT tai-xương đá không tiêm thuốc [BHYT thanh toán theo đơn giá 1-32 dãy],Lần,CT-SCAN,TU_CHI_TRA,1000000,VND,2024-01-01,,,1
1,ND98,Chụp CLVT tai-xương đá không tiêm thuốc [BHYT thanh toán theo đơn giá 1-32 dãy],Lần,CT-SCAN,BHYT,1000000,VND,2024-01-01,,,1
1,ND99,Chụp CLVT tai-xương đá có tiêm thuốc cản quang (chưa bao gồm thuốc cản quang) [BHYT thanh toán theo đơn giá 1-32 dãy],Lần,CT-SCAN,TU_CHI_TRA,1240000,VND,2024-01-01,,,1
1,ND99,Chụp CLVT tai-xương đá có tiêm thuốc cản quang (chưa bao gồm thuốc cản quang) [BHYT thanh toán theo đơn giá 1-32 dãy],Lần,CT-SCAN,BHYT,1240000,VND,2024-01-01,,,1
1,NDA0,Chụp cắt lớp vi tính mạch máu chi trên có tiêm thuốc cản quang (chưa bao gồm thuốc cản quang),Lần,CT-SCAN,TU_CHI_TRA,2350000,VND,2024-01-01,,,1
1,NDA0,Chụp cắt lớp vi tính mạch máu chi trên có tiêm thuốc cản quang (chưa bao gồm thuốc cản quang),Lần,CT-SCAN,BHYT,1732400,VND,2024-01-01,,,1
1,ND76,Chụp cắt lớp vi tính tạng khảo sát huyết động học khối u (CT perfusion) (chưa bao gồm thuốc cản quang),Lần,CT-SCAN,TU_CHI_TRA,2580000,VND,2024-01-01,,,1
1,ND76,Chụp cắt lớp vi tính tạng khảo sát huyết động học khối u (CT perfusion) (chưa bao gồm thuốc cản quang),Lần,CT-SCAN,BHYT,1732400,VND,2024-01-01,,,1
1,ND80,Chụp cắt lớp vi tính động mạch chủ ngực có tiêm thuốc cản quang (chưa bao gồm thuốc cản quang),Lần,CT-SCAN,TU_CHI_TRA,2250000,VND,2024-01-01,,,1
1,ND80,Chụp cắt lớp vi tính động mạch chủ ngực có tiêm thuốc cản quang (chưa bao gồm thuốc cản quang),Lần,CT-SCAN,BHYT,1732400,VND,2024-01-01,,,1
1,ND81,Chụp cắt lớp vi tính tầng trên ổ bụng có khảo sát mạch các tạng (mạc treo) (chưa bao gồm thuốc cản quang),Lần,CT-SCAN,TU_CHI_TRA,2200000,VND,2024-01-01,,,1
1,ND81,Chụp cắt lớp vi tính tầng trên ổ bụng có khảo sát mạch các tạng (mạc treo) (chưa bao gồm thuốc cản quang),Lần,CT-SCAN,BHYT,1732400,VND,2024-01-01,,,1
1,ND83,Chụp cắt lớp vi tính động mạch phổi (chưa bao gồm thuốc cản quang),Lần,CT-SCAN,TU_CHI_TRA,2100000,VND,2024-01-01,,,1
1,ND83,Chụp cắt lớp vi tính động mạch phổi (chưa bao gồm thuốc cản quang),Lần,CT-SCAN,BHYT,1732400,VND,2024-01-01,,,1
1,ND84,Chụp cắt lớp vi tính động mạch chủ-chậu (chưa bao gồm thuốc cản quang),Lần,CT-SCAN,TU_CHI_TRA,2240000,VND,2024-01-01,,,1
1,ND84,Chụp cắt lớp vi tính động mạch chủ-chậu (chưa bao gồm thuốc cản quang),Lần,CT-SCAN,BHYT,1732400,VND,2024-01-01,,,1
1,ND85,"Chụp cắt lớp vi tính động mạch vành, tim (chưa bao gồm thuốc cản quang)",Lần,CT-SCAN,TU_CHI_TRA,2450000,VND,2024-01-01,,,1
1,ND85,"Chụp cắt lớp vi tính động mạch vành, tim (chưa bao gồm thuốc cản quang)",Lần,CT-SCAN,BHYT,1732400,VND,2024-01-01,,,1
1,ND66,Chụp cắt lớp vi tính xương chi không tiêm thuốc cản quang [BHYT thanh toán theo đơn giá 1-32 dãy],Lần,CT-SCAN,TU_CHI_TRA,1000000,VND,2024-01-01,,,1
1,ND66,Chụp cắt lớp vi tính xương chi không tiêm thuốc cản quang [BHYT thanh toán theo đơn giá 1-32 dãy],Lần,CT-SCAN,BHYT,550100,VND,2024-01-01,,,1
1,ND68,Chụp cắt lớp vi tính cột sống cổ không tiêm thuốc cản quang [BHYT thanh toán theo đơn giá 1-32 dãy],Lần,CT-SCAN,TU_CHI_TRA,1000000,VND,2024-01-01,,,1
1,ND68,Chụp cắt lớp vi tính cột sống cổ không tiêm thuốc cản quang [BHYT thanh toán theo đơn giá 1-32 dãy],Lần,CT-SCAN,BHYT,550100,VND,2024-01-01,,,1
1,ND69,Chụp cắt lớp vi tính cột sống cổ có tiêm thuốc cản quang (chưa bao gồm thuốc cản quang) [BHYT thanh toán theo đơn giá 1-32 dãy],Lần,CT-SCAN,TU_CHI_TRA,1240000,VND,2024-01-01,,,1
1,ND69,Chụp cắt lớp vi tính cột sống cổ có tiêm thuốc cản quang (chưa bao gồm thuốc cản quang) [BHYT thanh toán theo đơn giá 1-32 dãy],Lần,CT-SCAN,BHYT,663400,VND,2024-01-01,,,1
1,ND71,Chụp cắt lớp vi tính cột sống ngực có tiêm thuốc cản quang (chưa bao gồm thuốc cản quang) [BHYT thanh toán theo đơn giá 1-32 dãy],Lần,CT-SCAN,TU_CHI_TRA,1240000,VND,2024-01-01,,,1
1,ND71,Chụp cắt lớp vi tính cột sống ngực có tiêm thuốc cản quang (chưa bao gồm thuốc cản quang) [BHYT thanh toán theo đơn giá 1-32 dãy],Lần,CT-SCAN,BHYT,663400,VND,2024-01-01,,,1
1,ND72,Chụp cắt lớp vi tính cột sống thắt lưng không tiêm thuốc cản quang [BHYT thanh toán theo đơn giá 1-32 dãy],Lần,CT-SCAN,TU_CHI_TRA,1000000,VND,2024-01-01,,,1
1,ND72,Chụp cắt lớp vi tính cột sống thắt lưng không tiêm thuốc cản quang [BHYT thanh toán theo đơn giá 1-32 dãy],Lần,CT-SCAN,BHYT,550100,VND,2024-01-01,,,1
1,MC72,"Siêu âm Doppler tinh hoàn, mào tinh hoàn hai bên",Lần,SIÊU ÂM,TU_CHI_TRA,400000,VND,2024-01-01,,,1
1,MC72,"Siêu âm Doppler tinh hoàn, mào tinh hoàn hai bên",Lần,SIÊU ÂM,BHYT,89300,VND,2024-01-01,,,1
1,MC73,Siêu âm ổ bụng,Lần,SIÊU ÂM,TU_CHI_TRA,150000,VND,2024-01-01,,,1
1,MC73,Siêu âm ổ bụng,Lần,SIÊU ÂM,BHYT,58600,VND,2024-01-01,,,1
1,MC76,Siêu âm cơ phần mềm vùng cổ,Lần,SIÊU ÂM,TU_CHI_TRA,150000,VND,2024-01-01,,,1
1,MC76,Siêu âm cơ phần mềm vùng cổ,Lần,SIÊU ÂM,BHYT,58600,VND,2024-01-01,,,1
1,MC82,"Siêu âm Doppler mạch máu ổ bụng (động mạch chủ, mạc treo tràng trên, thân tạng…)",Lần,SIÊU ÂM,TU_CHI_TRA,400000,VND,2024-01-01,,,1
1,MC82,"Siêu âm Doppler mạch máu ổ bụng (động mạch chủ, mạc treo tràng trên, thân tạng…)",Lần,SIÊU ÂM,BHYT,252300,VND,2024-01-01,,,1
1,MC89,Siêu âm phần mềm,Lần,SIÊU ÂM,TU_CHI_TRA,150000,VND,2024-01-01,,,1
1,MC89,Siêu âm phần mềm,Lần,SIÊU ÂM,BHYT,58600,VND,2024-01-01,,,1
1,MC95,"Siêu âm Doppler tử cung, buồng trứng qua đường âm đạo",Lần,SIÊU ÂM,TU_CHI_TRA,400000,VND,2024-01-01,,,1
1,MC95,"Siêu âm Doppler tử cung, buồng trứng qua đường âm đạo",Lần,SIÊU ÂM,BHYT,252300,VND,2024-01-01,,,1
1,MCA5,Siêu âm tuyến giáp,Lần,SIÊU ÂM,TU_CHI_TRA,150000,VND,2024-01-01,,,1
1,MCA5,Siêu âm tuyến giáp,Lần,SIÊU ÂM,BHYT,58600,VND,2024-01-01,,,1
1,MCA6,Siêu âm các tuyến nước bọt (tuyến mang tai),Lần,SIÊU ÂM,TU_CHI_TRA,150000,VND,2024-01-01,,,1
1,MCA6,Siêu âm các tuyến nước bọt (tuyến mang tai),Lần,SIÊU ÂM,BHYT,58600,VND,2024-01-01,,,1
